Date : 2023-10-14 15:16:44
Directory : /Users/wangweixu/github/GetXStudy_Flutter_Project
Total : 157 files,  7201 codes, 526 comments, 1156 blanks, all 8883 lines

Languages
+-----------------+------------+------------+------------+------------+------------+
| language        | files      | code       | comment    | blank      | total      |
+-----------------+------------+------------+------------+------------+------------+
| Dart            |        133 |      6,418 |        445 |      1,000 |      7,863 |
| Markdown        |          3 |        252 |          0 |         95 |        347 |
| JSON            |          2 |        145 |          0 |          1 |        146 |
| XML             |          9 |        123 |         48 |         11 |        182 |
| Groovy          |          3 |         94 |          9 |         22 |        125 |
| HTML            |          1 |         76 |          0 |         17 |         93 |
| YAML            |          2 |         72 |         23 |          5 |        100 |
| Swift           |          1 |         12 |          0 |          2 |         14 |
| Java Properties |          2 |          8 |          1 |          2 |         11 |
| C++             |          1 |          1 |          0 |          1 |          2 |
+-----------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        157 |      7,201 |        526 |      1,156 |      8,883 |
| . (Files)                                                                                                       |          4 |        321 |         23 |         98 |        442 |
| android                                                                                                         |         12 |        164 |         56 |         33 |        253 |
| android (Files)                                                                                                 |          3 |         40 |          4 |         10 |         54 |
| android/app                                                                                                     |          8 |        119 |         51 |         22 |        192 |
| android/app (Files)                                                                                             |          1 |         57 |          5 |         13 |         75 |
| android/app/src                                                                                                 |          7 |         62 |         46 |          9 |        117 |
| android/app/src/debug                                                                                           |          1 |          4 |          4 |          1 |          9 |
| android/app/src/main                                                                                            |          5 |         54 |         38 |          7 |         99 |
| android/app/src/main (Files)                                                                                    |          1 |         28 |          6 |          1 |         35 |
| android/app/src/main/res                                                                                        |          4 |         26 |         32 |          6 |         64 |
| android/app/src/main/res/drawable                                                                               |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/drawable-v21                                                                           |          1 |          4 |          7 |          2 |         13 |
| android/app/src/main/res/values                                                                                 |          1 |          9 |          9 |          1 |         19 |
| android/app/src/main/res/values-night                                                                           |          1 |          9 |          9 |          1 |         19 |
| android/app/src/profile                                                                                         |          1 |          4 |          4 |          1 |          9 |
| android/gradle                                                                                                  |          1 |          5 |          1 |          1 |          7 |
| android/gradle/wrapper                                                                                          |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                          |          1 |         76 |          0 |         17 |         93 |
| assets/html                                                                                                     |          1 |         76 |          0 |         17 |         93 |
| ios                                                                                                             |          7 |        222 |          2 |          8 |        232 |
| ios/Runner                                                                                                      |          7 |        222 |          2 |          8 |        232 |
| ios/Runner (Files)                                                                                              |          2 |         13 |          0 |          3 |         16 |
| ios/Runner/Assets.xcassets                                                                                      |          3 |        148 |          0 |          3 |        151 |
| ios/Runner/Assets.xcassets/AppIcon.appiconset                                                                   |          1 |        122 |          0 |          0 |        122 |
| ios/Runner/Assets.xcassets/LaunchImage.imageset                                                                 |          2 |         26 |          0 |          3 |         29 |
| ios/Runner/Base.lproj                                                                                           |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                             |        132 |      6,404 |        435 |        993 |      7,832 |
| lib (Files)                                                                                                     |          3 |        168 |        101 |         46 |        315 |
| lib/account_manager                                                                                             |          3 |        107 |         13 |         39 |        159 |
| lib/base                                                                                                        |         10 |        264 |         86 |         85 |        435 |
| lib/entity                                                                                                      |         13 |        378 |         13 |         86 |        477 |
| lib/enum                                                                                                        |          6 |        262 |          3 |         35 |        300 |
| lib/example_app                                                                                                 |          6 |        483 |          9 |         77 |        569 |
| lib/extension                                                                                                   |          2 |         63 |         30 |         11 |        104 |
| lib/generated                                                                                                   |         10 |        801 |         12 |         43 |        856 |
| lib/generated/json                                                                                              |         10 |        801 |         12 |         43 |        856 |
| lib/generated/json (Files)                                                                                      |          8 |        648 |          0 |         25 |        673 |
| lib/generated/json/base                                                                                         |          2 |        153 |         12 |         18 |        183 |
| lib/http_util                                                                                                   |          8 |        467 |         54 |        104 |        625 |
| lib/logger                                                                                                      |          2 |          9 |          0 |          4 |         13 |
| lib/pages                                                                                                       |         65 |      3,206 |        100 |        431 |      3,737 |
| lib/pages/coin_rank                                                                                             |          4 |        128 |          2 |         21 |        151 |
| lib/pages/coin_rank/bindings                                                                                    |          1 |         24 |          1 |          3 |         28 |
| lib/pages/coin_rank/controller                                                                                  |          1 |         49 |          1 |         11 |         61 |
| lib/pages/coin_rank/repository                                                                                  |          1 |         11 |          0 |          2 |         13 |
| lib/pages/coin_rank/view                                                                                        |          1 |         44 |          0 |          5 |         49 |
| lib/pages/common                                                                                                |         11 |        592 |         37 |         82 |        711 |
| lib/pages/home                                                                                                  |         13 |        648 |         26 |         78 |        752 |
| lib/pages/home/binding                                                                                          |          3 |         62 |          2 |          9 |         73 |
| lib/pages/home/controller                                                                                       |          3 |        152 |          2 |         32 |        186 |
| lib/pages/home/repository                                                                                       |          3 |         41 |         13 |          8 |         62 |
| lib/pages/home/view                                                                                             |          4 |        393 |          9 |         29 |        431 |
| lib/pages/launch                                                                                                |          2 |         90 |          4 |         13 |        107 |
| lib/pages/main                                                                                                  |          3 |         57 |          2 |         11 |         70 |
| lib/pages/main/bindings                                                                                         |          1 |         10 |          0 |          2 |         12 |
| lib/pages/main/controller                                                                                       |          1 |         15 |          2 |          5 |         22 |
| lib/pages/main/view                                                                                             |          1 |         32 |          0 |          4 |         36 |
| lib/pages/my                                                                                                    |         19 |        960 |         19 |        110 |      1,089 |
| lib/pages/my/binding                                                                                            |          5 |         84 |          1 |         11 |         96 |
| lib/pages/my/controller                                                                                         |          6 |        310 |         12 |         64 |        386 |
| lib/pages/my/repository                                                                                         |          3 |         53 |          0 |         10 |         63 |
| lib/pages/my/view                                                                                               |          5 |        513 |          6 |         25 |        544 |
| lib/pages/tree                                                                                                  |          9 |        425 |          4 |         73 |        502 |
| lib/pages/tree/bindings                                                                                         |          1 |         23 |          0 |          5 |         28 |
| lib/pages/tree/controller                                                                                       |          2 |         81 |          0 |         20 |        101 |
| lib/pages/tree/repository                                                                                       |          2 |         36 |          0 |          6 |         42 |
| lib/pages/tree/view                                                                                             |          4 |        285 |          4 |         42 |        331 |
| lib/pages/web                                                                                                   |          4 |        306 |          6 |         43 |        355 |
| lib/pages/web/binding                                                                                           |          1 |         20 |          0 |          2 |         22 |
| lib/pages/web/controller                                                                                        |          1 |        187 |          2 |         29 |        218 |
| lib/pages/web/repository                                                                                        |          1 |         11 |          0 |          3 |         14 |
| lib/pages/web/view                                                                                              |          1 |         88 |          4 |          9 |        101 |
| lib/resource                                                                                                    |          1 |         12 |          2 |          2 |         16 |
| lib/routes                                                                                                      |          3 |        184 |         12 |         30 |        226 |
| test                                                                                                            |          1 |         14 |         10 |          7 |         31 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| filename                                                                                                        | language        | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+-----------------+------------+------------+------------+------------+
| /Users/wangweixu/github/GetXStudy_Flutter_Project/README.md                                                     | Markdown        |        107 |          0 |         45 |        152 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/analysis_options.yaml                                         | YAML            |          3 |         23 |          4 |         30 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/build.gradle                                      | Groovy          |         57 |          5 |         13 |         75 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/debug/AndroidManifest.xml                     | XML             |          4 |          4 |          1 |          9 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/main/AndroidManifest.xml                      | XML             |         28 |          6 |          1 |         35 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/main/res/drawable-v21/launch_background.xml   | XML             |          4 |          7 |          2 |         13 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/main/res/drawable/launch_background.xml       | XML             |          4 |          7 |          2 |         13 |
| /Users/wangweixu/github/GetXStudy_Flutter_Project/android/app/src/main/res/values-night/styles.xml              | XML             |          9 |          9 |          1 |         19 |
